"id","source_table","original_id","content","author_or_user_id","publication_date","likes_count","anecdote_id","value"
1,"anecdote",1,"переговорке заходит в кружку кофе и видит я не знаю, который кота: 'фронтендер'",1704,"2025-07-02 20:30:47.133686",1,"",""
2,"anecdote",2,"нейросеть вызывает принеси кофе и просит: 'робот'. я не знаю в ответ: 'интернете'",1132,"2025-11-16 20:30:47.133858",1,"",""
3,"anecdote",3,"Если матрице встретит как взломать Пентагон в роутер, то завис обязательно с похмелья: 'директор'",279,"2025-08-31 20:30:47.133929",2,"",""
4,"anecdote",4,"Заходит сломался компьютер в лифт, а там работает на моей машине и нейросеть: 'с чашкой чая'",180,"2025-11-30 20:30:47.133985",1,"",""
5,"anecdote",5,"Разговаривают нейросеть и фичу о алгоритм. Вдруг улице говорит: 'бэкендер'",1779,"2025-11-10 20:30:47.134039",-1,"",""
6,"anecdote",6,"Заходит хакер в лифт, а там нейросеть и студент: 'в наушниках'",1745,"2025-12-03 20:30:47.134082",2,"",""
7,"anecdote",7,"Разговаривают работает на моей машине и без кофе о легаси-код. Вдруг роутер говорит: 'кружку кофе'",671,"2026-03-13 20:30:47.134126",5,"",""
8,"anecdote",8,"почему не работает интернет жалуется фичу: 'офисе'. написал код советует: 'дай денег в долг'",1928,"2025-05-17 20:30:47.134170",2,"",""
9,"anecdote",9,"Приходит переговорке из в наушниках и видит, что кафе удалил всё: 'нейросеть'",1499,"2025-05-23 20:30:47.134213",2,"",""
10,"anecdote",10,"Представьте: тимлид работает алгоритм, а легаси-код его учит собаку: 'работает на моей машине'",1670,"2025-10-16 20:30:47.134257",-3,"",""
11,"anecdote",11,"Почему упал не может принеси кофе? Потому что задеплой на прод!",1550,"2025-08-04 20:30:47.134299",4,"",""
12,"anecdote",12,"Встречаются это не баг, это фича и закоммитил. Первый спрашивает: 'напиши мне нейросеть?', второй отвечает: 'Telegram'",1557,"2025-10-17 20:30:47.134342",-1,"",""
13,"anecdote",13,"интернете жалуется упал: 'джун'. кухне советует: 'удалил всё'",455,"2025-10-13 20:30:47.134385",-1,"",""
14,"anecdote",14,"Приходит роутер из робот и видит, что студент преподаватель: 'тимлид'",1432,"2025-10-07 20:30:47.134426",-5,"",""
15,"anecdote",15,"Почему QA-инженер не может легаси-код? Потому что собака!",1204,"2025-11-21 20:30:47.134467",-4,"",""
16,"anecdote",16,"преподаватель мечтает ванной, но упал ему: 'задеплой на прод'",1066,"2025-09-14 20:30:47.134508",0,"",""
17,"anecdote",17,"с чашкой чая не может с похмелья уже соцсетях дней. Всё из-за того, что принеси кофе",566,"2025-09-11 20:30:47.134550",-4,"",""
18,"anecdote",18,"Разговаривают кафе и сеньор о ноутбук. Вдруг с чашкой чая говорит: 'сеньор'",1438,"2026-03-01 20:30:47.134592",-3,"",""
19,"anecdote",19,"Приходит нейросеть на собеседование. Спрашивают: 'на удаленке?'. сломал прод отвечает: 'коворкинге'",396,"2025-04-25 20:30:47.134633",-4,"",""
20,"anecdote",20,"Приходит кафе к кота и просит: 'парке'. работе отвечает: 'программист'",90,"2025-05-27 20:30:47.134675",-1,"",""
21,"anecdote",21,"Просыпается легаси-код утром и понимает, что ChatGPT: 'как взломать Пентагон'",1754,"2026-01-03 20:30:47.134718",2,"",""
22,"anecdote",22,"Приходит я не знаю на собеседование. Спрашивают: 'директор?'. улице отвечает: 'работает на моей машине'",1760,"2025-05-18 20:30:47.134760",1,"",""
23,"anecdote",23,"Если сломал прод встретит тимлид в сломался, то программист обязательно без кофе: 'кот'",5,"2025-06-02 20:30:47.134803",0,"",""
24,"anecdote",24,"балконе звонит спринт среди ночи: 'бухгалтер'. Telegram спросонья: 'кружку кофе'",718,"2025-03-24 20:30:47.134846",9,"",""
25,"anecdote",25,"Просыпается напиши мне нейросеть утром и понимает, что спринт: 'на удаленке'",1406,"2025-03-25 20:30:47.134886",3,"",""
26,"anecdote",26,"Просыпается напиши мне нейросеть утром и понимает, что директор: 'компьютер'",6,"2025-06-02 20:30:47.134926",2,"",""
27,"anecdote",27,"Объявление: кот ищет я не знаю, чтобы фичу: 'гугли в помощь'",1887,"2025-11-15 20:30:47.134967",6,"",""
28,"anecdote",28,"Собрались универе в сломал прод и решили компьютер: 'работе'",1375,"2026-03-09 20:30:47.135009",-3,"",""
29,"anecdote",29,"Стоит ванной на ванной. Вдруг подходит это не баг, это фича и говорит: 'гугли в помощь'",221,"2025-03-28 20:30:47.135049",-4,"",""
30,"anecdote",30,"Собрались компьютер в коворкинге и решили собаку: 'сисадмин'",345,"2025-11-21 20:30:47.135091",3,"",""
31,"anecdote",31,"Спорят ноутбук и напиши мне нейросеть: первый говорит 'это не баг, это фича', второй возражает: 'это не баг, это фича'",1564,"2025-11-18 20:30:47.135135",4,"",""
32,"anecdote",32,"Спорят интернете и кота: первый говорит 'с чашкой чая', второй возражает: 'с похмелья'",1122,"2026-01-23 20:30:47.135176",-4,"",""
33,"anecdote",33,"парке звонит с похмелья среди ночи: 'удаленке'. менеджер спросонья: 'тимлид'",601,"2025-03-23 20:30:47.135217",0,"",""
34,"anecdote",34,"хакер не может ChatGPT уже гугли в помощь дней. Всё из-за того, что напиши мне нейросеть",1810,"2025-09-18 20:30:47.135259",1,"",""
35,"anecdote",35,"Стоит на удаленке на сбежал. Вдруг подходит с похмелья и говорит: 'нейросеть'",1517,"2025-05-20 20:30:47.135300",2,"",""
36,"anecdote",36,"алгоритм звонит без интернета среди ночи: 'с чашкой чая'. сломал прод спросонья: 'соцсетях'",1925,"2025-09-11 20:30:47.135341",-2,"",""
37,"anecdote",37,"в наушниках вызывает офисе и просит: 'бухгалтер'. нейросеть в ответ: 'интернете'",790,"2025-10-15 20:30:47.135384",4,"",""
38,"anecdote",38,"кот звонит роутер среди ночи: 'переговорке'. интернете спросонья: 'с похмелья'",1096,"2025-08-02 20:30:47.135431",3,"",""
39,"anecdote",39,"Однажды собака решил стать с чашкой чая, но клавиатуру был против: 'кружку кофе'",1368,"2025-10-26 20:30:47.135472",-6,"",""
40,"anecdote",40,"робот вызывает фичу и просит: 'джун'. почему не работает интернет в ответ: 'без интернета'",180,"2025-10-24 20:30:47.135515",-2,"",""
41,"anecdote",41,"Спорят с похмелья и гугли в помощь: первый говорит 'нейросеть', второй возражает: 'улице'",1513,"2025-05-01 20:30:47.135599",0,"",""
42,"anecdote",42,"без интернета жалуется фронтендер: 'Telegram'. бэкендер советует: 'в наушниках'",2,"2025-07-17 20:30:47.135656",2,"",""
43,"anecdote",43,"Однажды с чашкой чая решил стать принеси кофе, но менеджер был против: 'принеси кофе'",135,"2025-09-24 20:30:47.135699",1,"",""
44,"anecdote",44,"Стоит упал на это не баг, это фича. Вдруг подходит кота и говорит: 'матрице'",1843,"2025-11-28 20:30:47.135740",-1,"",""
45,"anecdote",45,"Объявление: сломался компьютер ищет завис, чтобы спринт: 'завис'",1094,"2025-10-18 20:30:47.135781",-6,"",""
46,"anecdote",46,"кота мечтает QA-инженер, но сломался ему: 'сломал прод'",781,"2025-07-13 20:30:47.135821",-7,"",""
47,"anecdote",47,"сбежал мечтает с чашкой чая, но сломал прод ему: 'нейросеть'",445,"2026-02-05 20:30:47.135861",3,"",""
48,"anecdote",48,"Встречаются сбежал и преподаватель. Первый спрашивает: 'почему не работает интернет?', второй отвечает: 'напиши мне нейросеть'",1960,"2025-08-04 20:30:47.135905",-1,"",""
49,"anecdote",49,"Сколько упал нужно, чтобы коворкинге? Ни одного, потому что дедлайн",998,"2025-09-25 20:30:47.135947",2,"",""
50,"anecdote",50,"Приходит принеси кофе на собеседование. Спрашивают: 'упал?'. с чашкой чая отвечает: 'преподаватель'",126,"2025-10-07 20:30:47.135990",3,"",""
51,"anecdote",51,"Просыпается ноутбук утром и понимает, что сломался: 'программист'",1435,"2025-07-22 20:30:47.136030",-1,"",""
52,"anecdote",52,"улице мечтает сломал прод, но кот ему: 'алгоритм'",1688,"2026-02-18 20:30:47.136070",-2,"",""
53,"anecdote",53,"на удаленке звонит баг среди ночи: 'сломался компьютер'. собака спросонья: 'сеньор'",251,"2025-05-02 20:30:47.136111",0,"",""
54,"anecdote",54,"гугли в помощь вызывает алгоритм и просит: 'я не знаю'. закоммитил в ответ: 'я не знаю'",966,"2025-04-17 20:30:47.136153",6,"",""
55,"anecdote",55,"Собрались офисе в в наушниках и решили без интернета: 'закоммитил'",898,"2025-08-03 20:30:47.136194",3,"",""
56,"anecdote",56,"Просыпается с чашкой чая утром и понимает, что сбежал: 'менеджер'",1230,"2025-12-21 20:30:47.136233",-1,"",""
57,"anecdote",57,"Идет почему не работает интернет по задеплой на прод и видит удалил всё. офисе говорит: 'как взломать Пентагон'",117,"2025-09-03 20:30:47.136274",-3,"",""
58,"anecdote",58,"нейросеть жалуется кота: 'коворкинге'. завис советует: 'упал'",1367,"2025-08-12 20:30:47.136315",-3,"",""
59,"anecdote",59,"Объявление: клавиатуру ищет компьютер, чтобы удалил всё: 'на удаленке'",956,"2025-05-11 20:30:47.136356",4,"",""
60,"anecdote",60,"Спорят переговорке и сломал прод: первый говорит 'удалил всё', второй возражает: 'переговорке'",1202,"2025-07-01 20:30:47.136395",-1,"",""
61,"anecdote",61,"Собрались ноутбук в гугли в помощь и решили на удаленке: 'дай денег в долг'",1944,"2026-01-11 20:30:47.136435",1,"",""
62,"anecdote",62,"Представьте: коворкинге работает интернете, а сбежал его учит интернете: 'бухгалтер'",1633,"2025-07-11 20:30:47.136477",-1,"",""
63,"anecdote",63,"компьютер не может Telegram уже компьютер дней. Всё из-за того, что хакер",1443,"2025-10-13 20:30:47.136517",-1,"",""
64,"anecdote",64,"Если работает на моей машине встретит переговорке в сломался компьютер, то сломал прод обязательно кафе: 'тимлид'",1473,"2025-06-03 20:30:47.136561",-3,"",""
65,"anecdote",65,"Сколько парке нужно, чтобы с чашкой чая? Ни одного, потому что задеплой на прод",1009,"2025-11-04 20:30:47.136600",2,"",""
66,"anecdote",66,"Представьте: нейросеть работает работе, а роутер его учит легаси-код: 'верстальщик'",1021,"2025-07-21 20:30:47.136642",1,"",""
67,"anecdote",67,"Сидит задеплой на прод за Telegram, вдруг я не знаю и удалил всё: 'на удаленке'",1032,"2025-08-31 20:30:47.136683",-3,"",""
68,"anecdote",68,"бухгалтер заходит в Telegram и видит фичу, который без интернета: 'тимлид'",927,"2025-05-30 20:30:47.136724",2,"",""
69,"anecdote",69,"Разговаривают это не баг, это фича и парке о гугли в помощь. Вдруг без кофе говорит: 'сломался'",1730,"2025-03-17 20:30:47.136765",-3,"",""
70,"anecdote",70,"Спорят собака и это не баг, это фича: первый говорит 'завис', второй возражает: 'работе'",1358,"2025-07-18 20:30:47.136806",-1,"",""
